inchikey,NR.AhR,NR.AR,NR.AR.LBD,NR.Aromatase,NR.ER,NR.ER.LBD,NR.PPAR.gamma,SR.ARE,SR.ATAD5,SR.HSE,SR.MMP,SR.p53
ABRIMXGLNHCLIP-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,1.0,0.0
ABTNETSDXZBJTE-WLHGVMLRSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ABTXGJFUQRCPNH-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABWLRVJYVVQTGQ-BJMVGYQFSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
ACEWLPOYLGNNHV-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
ACFHHZJOAUZSJU-XBXARRHUSA-N,,,,,,,,1.0,,,,
ACFJNTXCEQCDBX-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
ACFZEFCGESJKJH-JZGIKJSDSA-N,,,,,,,,0.0,,0.0,,
ACGUYXCXAPNIKK-UHFFFAOYSA-N,0.0,0.0,0.0,,,0.0,1.0,,0.0,1.0,1.0,1.0
ACHKKGDWZVCSNH-UHFFFAOYSA-N,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACKALUBLCWJVNB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOBBFVLNKYODD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACPOUJIDANTYHO-UHFFFAOYSA-N,,0.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0
ACRMUSVWIFZVSM-JTHHODAVSA-N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTIUHUUMQJHFO-UPTCCGCDSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ACTOXUHEUCPTEW-BWHGAVFKSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ACTRVOBWPAIOHC-LWMBPPNESA-N,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,
ACVGWSKVRYFWRP-UHFFFAOYSA-N,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
ACWBQPMHZXGDFX-JOCHJYFZSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ACWQBUSCFPJUPN-HWKANZROSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAKRBAJFHTIEW-UHFFFAOYSA-N,,0.0,0.0,,,0.0,0.0,,,0.0,1.0,0.0
ADCUEPOHPCPMCE-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYRBXQAJXJTD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADDZHRRCUWNSCS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFOJJHRTBFFOF-RBRWEJTLSA-N,0.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,0.0,1.0
ADGGJQPKBDIZMT-UHFFFAOYSA-K,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
ADIMAYPTOBDMTL-UHFFFAOYSA-N,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADLFUPFRVXCDMO-LIGXYSTNSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ADPUQRRLAAPXGT-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVGKWPZRIDURE-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ADVPTQAUNPRNPO-REOHCLBHSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADZXDFALMZGPTN-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEBJDOTVYMITIA-UHFFFAOYSA-N,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEIJTFQOBWATKX-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEKQMJRJRAHOAP-CYBMUJFWSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
AEMFNILZOJDQLW-QAGGRKNESA-N,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AEMRFAOFKBGASW-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AEOCXXJPGCBFJA-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEPWOCLBLLCOGZ-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,,0.0,0.0
AEQFSUDEHCCHBT-UHFFFAOYSA-M,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEVKYFNHIADTEI-UHFFFAOYSA-N,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
AEXMKKGTQYQZCS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
AEZLAQZYZLLTIV-UHFFFAOYSA-N,0.0,0.0,,1.0,,,,1.0,,,,
AFABGHUZZDYHJO-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFBPFSWMIHJQDM-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFCAKJKUYFLYFK-UHFFFAOYSA-N,,0.0,,0.0,,0.0,1.0,1.0,0.0,1.0,1.0,
AFCCDDWKHLHPDF-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFDXODALSZRGIH-QPJJXVBHSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AFFLGGQVNFXPEV-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AFGQXWSHYUHHNV-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFHJQYHRLPMKHU-OSYMLPPYSA-N,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
AFIIBUOYKYSPKB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AFIIOPIEVQSYHH-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFJCNBBHEVLGCZ-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFJSFHAKSSWOKG-UHFFFAOYSA-N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFJYYKSVHJGXSN-XHKIUTQPSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
AFKMHDZOVNDWLO-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFLDFEASYWNJGX-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0
AFLXUQUGROGEFA-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFPRJLBZLPBTPZ-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0
AFQRMCRVQVUGMF-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AFSOIHMEOKEZJF-UHFFFAOYSA-N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFUKNJHPZAVHGQ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFVFQIVMOAPDHO-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFYCEAFSNDLKSX-UHFFFAOYSA-N,1.0,1.0,,,0.0,,,,0.0,,,1.0
AFZSMODLJJCVPP-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AFZZYIJIWUTJFO-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGBQKNBQESQNJD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AGEZXYOZHKGVCM-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGFWIZQEWFGATK-FYIKLNIRSA-N,,,,,,,,0.0,,0.0,,
AGHANLSBXUWXTB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AGIQIOSHSMJYJP-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
AGJUUQSLGVCRQA-PJEYIJQRSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AGKRHAILCPYNFH-DUQSFWPASA-N,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AGMMTXLNIQSRCG-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AGOYDEPGAOXOCK-LERDGGEFSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPKZVBTJJNPAG-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
AGQSGSYOSSBGLI-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGSOOCUNMTYPSE-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGVNLFCRZULMKK-UHFFFAOYSA-N,,,,,,,,1.0,,0.0,,
AGXVEALMQHTMSW-UHFFFAOYSA-N,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGYUOJIYYGGHKV-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHBXXEZLRFCZSF-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHDSRXYHVZECER-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AHHWIHXENZJRFG-UHFFFAOYSA-N,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHIPJALLQVEEQF-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,0.0,1.0
AHJKRLASYNVKDZ-UHFFFAOYSA-N,0.0,0.0,0.0,,,0.0,0.0,,0.0,,1.0,
AHKAOMZZTQULDS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AHLBNYSZXLDEJQ-DUNLCCOXSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AHOUBRCZNHFOSL-YOEHRIQHSA-N,0.0,0.0,0.0,,,0.0,,,0.0,,,
AHSGHEXYEABOKT-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSKLSFFKJHWAI-RGMNGODLSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHTPATJNIAFOLR-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHUXYBVKTIBBJW-UHFFFAOYSA-N,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0
AHWALFGBDFAJAI-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AHXGXXJEEHFHDK-UHFFFAOYSA-N,,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
AHZKNSBEESCMGM-UHFFFAOYSA-N,1.0,0.0,,,,0.0,,,1.0,,,1.0
AIAASKTUEVUIQM-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AIFRHYZBTHREPW-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
AIGDHFJPKNZUOR-UHFFFAOYSA-N,1.0,0.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0
AIGRXSNSLVJMEA-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
AIJULSRZWUXGPQ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIKVCUNQWYTVTO-UHFFFAOYSA-N,,0.0,,,,0.0,,,,,,0.0
AITNMTXHTIIIBB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXAANGOTKPUOY-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AJDIZQLSFPQPEY-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJFDBNQQDYLMJN-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJKQZRAAQMBNKM-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJKVQEKCUACUMD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJLFOPYRIVGYMJ-INTXDZFKSA-N,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AJMDRSJHCYQPQI-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJOQSQHYDOFIOX-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJPIUNPJBFBUKK-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJSKOLZKIUMPPG-UHFFFAOYSA-N,,,,,,,,1.0,,,,
AJSTXXYNEIHPMD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJULSUVNFQEPHC-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
AJXPJJZHWIXJCJ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJZJIYUOOJLBAU-ZYIUJVGZSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
AKCRQHGQIJBRMN-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKEBROIVCDHVSD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
AKGGYBADQZYZPD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKHXXQAIVSMYIS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKJHMTWEGVYYSE-FXILSDISSA-N,0.0,0.0,0.0,,,0.0,,,,,1.0,
AKLNLVOZXMQGSI-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
AKNLFHJQVCPHHO-UHFFFAOYSA-N,1.0,0.0,,,,0.0,,1.0,,1.0,,1.0
AKNNEGZIBPJZJG-MSOLQXFVSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AKNQMEBLVAMSNZ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKNUHUCEWALCOI-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
AKPLHCDWDRPJGD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
AKRYBBWYDSDZHG-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKUJBENLRBOFTD-RPRRAYFGSA-N,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKUNSPZHHSNFFX-UHFFFAOYSA-M,,0.0,,,,,,,,,1.0,
AKXUUJCMWZFYMV-UHFFFAOYSA-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
AKZHPJMVGQRYGX-UHFFFAOYSA-N,1.0,0.0,0.0,,0.0,0.0,,1.0,0.0,,1.0,0.0
ALARQZQTBTVLJV-UHFFFAOYSA-N,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ALBRIBHWWYACDZ-CZNPUCISSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ALBYIUDWACNRRB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALELTFCQZDXAMQ-UHFFFAOYSA-N,,,,,,,,,,0.0,,
ALEXXDVDDISNDU-KPYZGQEZSA-N,0.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALIFPGGMJDWMJH-UHFFFAOYSA-N,1.0,0.0,0.0,,1.0,0.0,,1.0,0.0,0.0,,0.0
ALIVXCSEERJYHU-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALKYHXVLJMQRLQ-UHFFFAOYSA-N,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0
ALLWOAVDORUJLA-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
ALMHSXDYCFOZQD-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALOUNLDAKADEEB-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ALQSHHUCVQOPAS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALRFQTSUTVIUOX-AWFSDRIXSA-N,0.0,0.0,1.0,0.0,,1.0,,,1.0,1.0,0.0,1.0
ALRLPDGCPYIVHP-UHFFFAOYSA-N,,0.0,0.0,0.0,0.0,1.0,,1.0,,,1.0,
ALSTYHKOOCGGFT-KTKRTIGZSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVPFGSHPUPROW-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVYUZIFSCKIFP-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
ALWUKGXLBSQSMA-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ALXRUJOUFGNSHT-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ALYCEQJIRFYVGE-UHFFFAOYSA-N,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
ALYNCZNDIQEVRV-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALZOLUNSQWINIR-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AMDBBAQNWSUWGN-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMEKQAFGQBKLKX-UHFFFAOYSA-N,0.0,0.0,0.0,,,0.0,,1.0,0.0,,,1.0
AMFGTOFWMRQMEM-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
AMFGWXWBFGVCKG-UHFFFAOYSA-N,,0.0,0.0,,,0.0,,,,,1.0,
AMHPTVWBZSYFSS-UHFFFAOYSA-N,,,,,,,,0.0,,0.0,,
AMIMRNSIRUDHCM-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMQJEAYHLZJPGS-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AMRQXHFXNZFDCH-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTITFMUKRZZEE-WAYWQWQTSA-N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMTRFSFECFPSHF-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
AMXYRHBJZOVHOL-ODYTWBPASA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMYKXJAXRJCLCV-UHFFFAOYSA-N,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZACPWEJDQXGW-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANGDWNBGPBMQHW-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANISOHQJBAQUQP-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJNOJFLVNXCHT-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ANMATWQYLIFGOK-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
ANMLJLFWUCQGKZ-UHFFFAOYSA-N,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0
ANOOTOPTCJRUPK-UHFFFAOYSA-N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANSXAPJVJOKRDJ-UHFFFAOYSA-N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
